,Date,Open,High,Low,Close,Adj Close,Volume,year,month
4530,2015-05-18,426.0,427.26998899999995,421.459991,425.23999000000003,425.23999000000003,2390200,2015,5
4531,2015-05-19,424.869995,428.23999000000003,420.630005,421.709991,421.709991,2464200,2015,5
4532,2015-05-20,420.60000599999995,427.10000599999995,418.359985,423.85998499999994,423.85998499999994,2196200,2015,5
4533,2015-05-21,428.0,436.89999400000005,428.0,431.630005,431.630005,4121400,2015,5
4534,2015-05-22,431.549988,432.44000199999994,427.60998499999994,427.630005,427.630005,2020600,2015,5
4535,2015-05-26,426.200012,427.0,422.0,425.47000099999997,425.47000099999997,2244200,2015,5
4536,2015-05-27,427.450012,431.85000599999995,425.01000999999997,431.420013,431.420013,2231100,2015,5
4537,2015-05-28,429.709991,431.35000599999995,425.47000099999997,426.57000700000003,426.57000700000003,1912400,2015,5
4538,2015-05-29,427.23001100000005,432.5,427.23001100000005,429.23001100000005,429.23001100000005,3016100,2015,5
4539,2015-06-01,430.39999400000005,433.160004,426.200012,430.920013,430.920013,2253300,2015,6
4540,2015-06-02,430.07000700000003,433.23001100000005,426.25,430.98999000000003,430.98999000000003,1668900,2015,6
4541,2015-06-03,434.39999400000005,438.39001500000006,432.75,436.589996,436.589996,2727900,2015,6
4542,2015-06-04,434.39999400000005,436.76000999999997,429.26000999999997,430.77999900000003,430.77999900000003,2510800,2015,6
4543,2015-06-05,429.660004,430.799988,426.5,426.950012,426.950012,1907900,2015,6
4544,2015-06-08,425.619995,426.799988,421.42999299999997,423.5,423.5,2172500,2015,6
4545,2015-06-09,422.959991,427.48999000000003,419.140015,425.48001100000005,425.48001100000005,2288700,2015,6
4546,2015-06-10,426.459991,432.200012,425.660004,430.76998899999995,430.76998899999995,2172300,2015,6
4547,2015-06-11,432.290009,438.89001500000006,431.47000099999997,432.97000099999997,432.97000099999997,2922500,2015,6
4548,2015-06-12,431.25,432.35998499999994,428.26000999999997,429.920013,429.920013,2054400,2015,6
4549,2015-06-15,427.660004,428.049988,422.64001500000006,423.670013,423.670013,2051000,2015,6
4550,2015-06-16,424.14999400000005,427.97000099999997,422.670013,427.26000999999997,427.26000999999997,2296400,2015,6
4551,2015-06-17,428.35998499999994,431.35000599999995,424.75,427.80999800000006,427.80999800000006,2185900,2015,6
4552,2015-06-18,430.299988,439.73001100000005,429.410004,439.39001500000006,439.39001500000006,3378400,2015,6
4553,2015-06-19,440.26000999999997,444.98999000000003,433.23999000000003,434.920013,434.920013,4495100,2015,6
4554,2015-06-22,437.0,439.23999000000003,434.17999299999997,436.290009,436.290009,1823600,2015,6
4555,2015-06-23,435.589996,447.040009,433.69000199999994,445.98999000000003,445.98999000000003,3245000,2015,6
