,Date,Open,High,Low,Close,Adj Close,Volume,year,month
4334,2014-08-06,310.829987,315.77999900000003,310.200012,313.890015,313.890015,2296900,2014,8
4335,2014-08-07,315.209991,315.880005,309.649994,311.450012,311.450012,2935600,2014,8
4336,2014-08-08,311.940002,317.320007,310.660004,316.799988,316.799988,2705900,2014,8
4337,2014-08-11,318.480011,320.380005,316.880005,318.329987,318.329987,2468600,2014,8
4338,2014-08-12,318.890015,321.309998,316.950012,319.320007,319.320007,1915800,2014,8
4339,2014-08-13,327.600006,331.72000099999997,326.140015,326.27999900000003,326.27999900000003,4939100,2014,8
4340,2014-08-14,327.799988,334.089996,326.709991,333.209991,333.209991,3420400,2014,8
4341,2014-08-15,334.0,335.0,328.320007,333.630005,333.630005,3896700,2014,8
4342,2014-08-18,335.480011,337.799988,333.769989,334.52999900000003,334.52999900000003,2485400,2014,8
4343,2014-08-19,334.869995,335.809998,333.01001,335.130005,335.130005,1713800,2014,8
4344,2014-08-20,334.679993,337.160004,334.019989,335.77999900000003,335.77999900000003,1810500,2014,8
4345,2014-08-21,336.480011,336.579987,332.230011,332.910004,332.910004,1971100,2014,8
4346,2014-08-22,332.98999,334.079987,330.799988,331.589996,331.589996,2211200,2014,8
4347,2014-08-25,333.209991,336.769989,332.709991,334.019989,334.019989,1957700,2014,8
4348,2014-08-26,337.0,344.359985,334.549988,341.829987,341.829987,3654700,2014,8
4349,2014-08-27,342.089996,346.670013,341.339996,343.179993,343.179993,2961600,2014,8
4350,2014-08-28,340.0,341.790009,338.799988,340.019989,340.019989,2252700,2014,8
4351,2014-08-29,341.76001,341.820007,337.679993,339.040009,339.040009,1939500,2014,8
4352,2014-09-02,339.980011,342.5,337.160004,342.380005,342.380005,2326000,2014,9
4353,2014-09-03,342.540009,343.269989,337.549988,339.0,339.0,1993700,2014,9
4354,2014-09-04,343.690002,349.380005,343.579987,345.950012,345.950012,3965600,2014,9
4355,2014-09-05,346.299988,346.829987,342.5,346.380005,346.380005,2107000,2014,9
4356,2014-09-08,344.540009,345.809998,339.040009,342.339996,342.339996,2955300,2014,9
4357,2014-09-09,341.609985,341.76001,329.179993,329.75,329.75,4646800,2014,9
4358,2014-09-10,334.299988,334.980011,328.820007,331.329987,331.329987,3797400,2014,9
4359,2014-09-11,329.940002,333.01001,326.390015,330.519989,330.519989,2720200,2014,9
4360,2014-09-12,329.559998,332.890015,328.790009,331.190002,331.190002,3429300,2014,9
4361,2014-09-15,330.910004,331.329987,319.0,323.890015,323.890015,4000400,2014,9
4362,2014-09-16,321.070007,329.480011,320.100006,327.76001,327.76001,3259900,2014,9
4363,2014-09-17,327.76001,328.0,321.519989,324.0,324.0,4136000,2014,9
4364,2014-09-18,325.440002,327.100006,323.709991,325.0,325.0,2576900,2014,9
4365,2014-09-19,327.600006,332.76001,325.570007,331.320007,331.320007,6886200,2014,9
4366,2014-09-22,328.48999,329.48999,321.059998,324.5,324.5,3109700,2014,9
4367,2014-09-23,322.459991,327.600006,321.25,323.630005,323.630005,2352600,2014,9
4368,2014-09-24,324.170013,329.440002,319.559998,328.209991,328.209991,2642200,2014,9
4369,2014-09-25,327.98999,328.540009,321.399994,321.929993,321.929993,2928800,2014,9
4370,2014-09-26,320.600006,323.5,317.640015,323.209991,323.209991,3638000,2014,9
4371,2014-09-29,320.5,323.75,319.0,321.820007,321.820007,1924600,2014,9
4372,2014-09-30,321.359985,323.429993,318.51001,322.440002,322.440002,2636200,2014,9
4373,2014-10-01,322.040009,322.170013,315.549988,317.459991,317.459991,3089100,2014,10
4374,2014-10-02,316.920013,318.52999900000003,311.309998,318.410004,318.410004,3553900,2014,10
4375,2014-10-03,320.359985,325.160004,319.52999900000003,322.73999,322.73999,3037400,2014,10
4376,2014-10-06,323.5,324.130005,319.600006,322.200012,322.200012,2290300,2014,10
4377,2014-10-07,319.429993,322.0,316.670013,316.980011,316.980011,2365400,2014,10
4378,2014-10-08,316.579987,324.109985,314.140015,322.700012,322.700012,3452800,2014,10
4379,2014-10-09,321.48999,322.269989,314.519989,315.369995,315.369995,3587900,2014,10
4380,2014-10-10,314.019989,317.769989,311.380005,311.390015,311.390015,3681900,2014,10
4381,2014-10-13,309.869995,313.200012,303.47000099999997,306.450012,306.450012,4363900,2014,10
4382,2014-10-14,308.0,312.23999,305.75,308.309998,308.309998,3385800,2014,10
4383,2014-10-15,304.350006,307.899994,299.100006,305.97000099999997,305.97000099999997,5343900,2014,10
4384,2014-10-16,293.829987,306.820007,293.829987,302.859985,302.859985,4731300,2014,10
4385,2014-10-17,307.149994,309.200012,302.72000099999997,303.640015,303.640015,4405100,2014,10
4386,2014-10-20,302.950012,306.52999900000003,302.019989,306.209991,306.209991,3234500,2014,10
